Locality,MinPrice,MaxPrice,AvgRent,HouseType
Battarahalli,"4,500","11,000"," 7,76.92",1BHK
Battarahalli,"6,000","19,000"," 13,225",2BHK
Battarahalli,"18,000","35,000"," 22,142.86",3BHK
Vidyaranyapura,"3,500","16,000"," 7,333.33",1BHK
Vidyaranyapura,"8,500","16,000"," 11,312.5",2BHK
Vidyaranyapura,"16,000","27,000"," 19,666.67",3BHK
CV Raman Nagar,"5,000","16,000"," 10,659.09",1BHK
CV Raman Nagar,"10,000","20,000"," 15,400",2BHK
CV Raman Nagar,"20,000",nan," 20,000",3BHK
Jayanagar,"5,000","13,000"," 8,000",1BHK
Jayanagar,"12,000","32,000"," 20,108.7",2BHK
Jayanagar,"20,000","27,000"," 23,000",3BHK
Hennur,"4,000","13,600"," 10,215.38",1BHK
Hennur,"10,000","25,000"," 13,937.5",2BHK
Hennur,"20,000","27,000"," 23,500",3BHK
Chamrajpet,"6,000",nan," 6,000",1BHK
Chamrajpet,"14,000",nan," 14,000",2BHK
Chamrajpet,"18,000",nan," 18,000",3BHK
Sarjapur Road Post Railway Crossing,"18,500","32,000"," 23,000",1BHK
Sarjapur Road Post Railway Crossing,"11,000",nan," 11,000",2BHK
Sarjapur Road Post Railway Crossing,"50,000","75,000"," 62,500",3BHK
Bommanahalli,"4,450","13,500"," 9,807.64",1BHK
Bommanahalli,"8,500","20,000"," 15,353.65",2BHK
Bommanahalli,"32,900",nan," 32,900",3BHK
Talaghattapura,"7,000","7,500"," 7,250",1BHK
Talaghattapura,"9,500","13,000"," 11,250",2BHK
Talaghattapura,"18,000","21,000"," 19,666.67",3BHK
Kannur on Thanisandra Main Road,"8,500",nan," 8,500",1BHK
Kannur on Thanisandra Main Road,"13,100","35,000"," 21,842.55",2BHK
Kannur on Thanisandra Main Road,"17,000",1.2 L," 33,865.57",3BHK
Kasavanahalli,"4,000","19,000"," 14,500",1BHK
Kasavanahalli,"13,500","21,500"," 17,557.14",2BHK
Kasavanahalli,"30,000","33,500"," 31,750",3BHK
Kalyan Nagar,"4,000","16,500"," 9,343.75",1BHK
Kalyan Nagar,"14,000","25,000"," 19,346.15",2BHK
Kalyan Nagar,"21,000","50,000"," 36,884.62",3BHK
Kumbalgodu,"7,000",nan," 7,000",1BHK
Kumbalgodu,8 L,nan," 8,00,000",2BHK
Kumbalgodu,"13,000","35,000"," 19,647.06",3BHK
Hoskote,"5,500","6,500"," 6,075",1BHK
Hoskote,"9,500",nan," 9,500",2BHK
Hoskote,"21,000",nan," 21,000",3BHK
Nagarbhavi,"6,000","8,000"," 7,000",1BHK
Nagarbhavi,"7,000","20,000"," 12,638.89",2BHK
Nagarbhavi,"20,000","30,000"," 28,000",3BHK
Gottigere,"6,500","15,000"," 10,62.38",1BHK
Gottigere,"6,500","18,000"," 10,785.71",2BHK
Gottigere,"13,000","40,000"," 20,800",3BHK
Brookefield,"7,000","21,000"," 14,528.57",1BHK
Brookefield,"17,500","30,000"," 21,833.33",2BHK
Brookefield,"22,000","45,000"," 32,571.43",3BHK
Bagaluru Near Yelahanka,nan,nan,-,1BHK
Bagaluru Near Yelahanka,"15,000",nan," 15,000",2BHK
Bagaluru Near Yelahanka,"21,000",nan," 21,000",3BHK
Hosa Road,"9,500","20,000"," 13,833.33",1BHK
Hosa Road,"12,500",nan," 12,500",2BHK
Hosa Road,"15,000","34,000"," 24,238.1",3BHK
Jigani,"5,500","9,500"," 7,333.33",1BHK
Jigani,"8,200","14,000"," 10,775",2BHK
Jigani,"20,000",nan," 20,000",3BHK
Hulimavu,"6,000","27,000"," 10,325",1BHK
Hulimavu,"11,000","17,800"," 14,810",2BHK
Hulimavu,"17,000","24,000"," 20,250",3BHK
JP Nagar Phase 7,"8,000",nan," 8,000",1BHK
JP Nagar Phase 7,"13,000","18,500"," 16,100",2BHK
JP Nagar Phase 7,"16,000","48,000"," 34,203.77",3BHK
Attibele,"5,000","6,500"," 5,700",1BHK
Attibele,"9,000","12,000"," 10,833.33",2BHK
Attibele,"23,500","35,000"," 29,250",3BHK
